source,name,triplet,elevation,wind,timezone,lat,lng,date,depth,depth_change,water_equiv,water_equiv_change
SNOTEL,KACHEMAK CREEK,1063:AK:SNTL,1660,False,-9,59.72893,-150.66113,2014-11-07,10,1,,
SNOTEL,SPENCER MEADOW,776:WA:SNTL,3400,False,-8,46.1795,-121.92661,2014-11-07,0,0,0.0,0.0
SNOTEL,HUNTINGTON HORSE,1216:UT:SNTL,9657,False,-7,39.61153,-111.30493,2014-11-07,,,0.4,-0.2
SNOTEL,DRY LAKE,457:CO:SNTL,8400,True,-7,40.53397,-106.7813,2014-11-07,1,0,0.9,0.0
SNOTEL,LAPRELE CREEK,571:WY:SNTL,8375,False,-7,42.43583,-105.86083,2014-11-07,1,0,0.0,0.0
SNOTEL,WHEELER PEAK,1147:NV:SNTL,10120,False,-8,39.00995,-114.31021,2014-11-07,0,-1,0.4,0.0
SNOTEL,JACKWHACKER GULCH,935:CO:SNTL,10960,False,-7,39.56667,-105.8,2014-11-07,1,-1,0.3,0.0
SNOTEL,LASAL MOUNTAIN,572:UT:SNTL,9560,False,-7,38.48217,-109.27192,2014-11-07,2,-2,1.4,-0.1
SNOTEL,BAKER BUTTE SMT,1140:AZ:SNTL,7700,False,-7,34.45547,-111.38272,2014-11-07,0,-1,0.1,0.0
SNOTEL,HOLE-IN-ROCK,528:UT:SNTL,9150,False,-7,40.92167,-110.18622,2014-11-07,,,0.0,0.0
SNOTEL,RAILROAD OVERPASS,710:OR:SNTL,2680,False,-8,43.65887,-122.21272,2014-11-07,0,0,0.0,0.0
SNOTEL,SAGWON,1183:AK:SNTL,1000,False,-9,69.42417,-148.6925,2014-11-07,17,-1,,
SNOTEL,LITTLE CHENA RIDGE,947:AK:SNTL,2000,True,-9,65.12422,-146.7339,2014-11-07,6,0,1.2,0.0
SNOTEL,SARGENTS MESA,1128:CO:SNTL,11530,False,-7,38.28555,-106.37069,2014-11-07,3,0,0.8,0.0
SNOTEL,CASCADE MOUNTAIN,1039:UT:SNTL,7774,False,-7,40.283,-111.60992,2014-11-07,2,-1,0.3,0.0
SNOTEL,TIE CREEK,818:WY:SNTL,6870,False,-7,44.81243,-107.41017,2014-11-07,0,0,0.2,0.2
SNOTEL,SOURDOUGH GULCH,985:WA:SNTL,4000,True,-8,46.23718,-117.39438,2014-11-07,1,1,0.0,-0.1
SNOTEL,LITTLE MEADOWS,584:OR:SNTL,4020,False,-8,44.61297,-122.22565,2014-11-07,0,,0.0,0.0
SNOTEL,INDEPENDENCE CAMP,539:CA:SNTL,7003,False,-8,39.4528,-120.29268,2014-11-07,,,0.0,0.0
SNOTEL,HOLE-IN-MOUNTAIN,527:NV:SNTL,7900,False,-8,40.9427,-115.09572,2014-11-07,0,-1,0.5,-0.1
SNOTEL,WINDY PEAK,872:WY:SNTL,7900,False,-7,42.2802,-105.57816,2014-11-07,0,-1,0.2,0.0
SNOTEL,INDEPENDENCE MINE,1091:AK:SNTL,3550,True,-9,61.79117,-149.27967,2014-11-07,3,0,0.9,0.4
SNOTEL,HIGH RIDGE,523:OR:SNTL,4920,False,-8,45.69682,-118.10657,2014-11-07,0,0,0.1,-0.1
SNOTEL,BEAR CANYON,320:ID:SNTL,7900,False,-7,43.74367,-113.93797,2014-11-07,3,1,0.9,0.1
SNOTEL,FRANKLIN BASIN,484:ID:SNTL,8170,False,-7,42.05058,-111.6012,2014-11-07,3,3,0.0,0.0
SNOTEL,GOVERNMENT CORRALS,1250:OR:SNTLT,7400,False,-8,42.04308,-118.3195,2014-11-07,3,-1,,
SNOTEL,WILDHORSE DIVIDE,867:ID:SNTL,6490,False,-7,42.75743,-112.47783,2014-11-07,1,-1,0.5,-0.2
SNOTEL,WRIGLEY CREEK,1228:UT:SNTL,9162,False,-7,39.13427,-111.3539,no data,no data,no data,no data,no data
SNOTEL,ATIGUN PASS,957:AK:SNTL,4800,True,-9,68.12983,-149.47817,2014-11-07,15,0,,
SNOTEL,HOWELL CANYON,534:ID:SNTL,7980,False,-7,42.32111,-113.61556,2014-11-07,,,0.8,0.1
SNOTEL,CHEMULT ALTERNATE,395:OR:SNTL,4850,True,-8,43.22625,-121.80662,2014-11-07,0,,0.0,0.0
SNOTEL,TIMBERLINE,1097:UT:SNTL,8736,False,-7,39.67712,-110.43395,2014-11-07,4,2,0.3,-0.1
SNOTEL,WARD CREEK #3,848:CA:SNTL,6655,False,-8,39.13562,-120.21763,no data,no data,no data,no data,no data
SNOTEL,LONE CONE,589:CO:SNTL,9600,False,-7,37.89183,-108.19544,2014-11-07,4,-5,0.9,0.0
SNOTEL,HEAVENLY VALLEY,518:CA:SNTL,8582,False,-8,38.92433,-119.91647,2014-11-07,0,0,0.0,0.0
SNOTEL,LILY POND,580:CO:SNTL,11000,False,-7,37.37929,-106.54835,2014-11-07,0,-2,0.9,-0.1
SNOTEL,GREEN LAKE,502:WA:SNTL,5920,False,-8,46.54741,-121.17093,2014-11-07,0,0,0.0,0.0
SNOTEL,CHARKILN,2145:NV:SCAN,6718,False,-8,36.36637,-115.83394,2014-11-07,0,-1,,
SNOTEL,HAYFORD PEAK,2143:NV:SCAN,9886,False,-8,37.65812,-115.20422,no data,no data,no data,no data,no data
SNOTEL,BIG CREEK SUMMIT,338:ID:SNTL,6580,False,-7,44.62642,-115.7937,2014-11-07,1,0,0.9,0.1
SNOTEL,EMIGRANT SUMMIT,471:ID:SNTL,7390,False,-7,42.36055,-111.56085,2014-11-07,1,0,0.2,0.0
SNOTEL,COLE CREEK,407:MT:SNTL,7850,False,-7,45.19405,-109.34548,2014-11-07,,,0.3,0.3
SNOTEL,UTE CREEK,1005:CO:SNTL,10650,False,-7,37.61497,-105.37327,2014-11-07,1,-1,0.5,0.0
SNOTEL,BURGESS JUNCTION,377:WY:SNTL,7880,False,-7,44.78765,-107.52917,2014-11-07,1,0,0.4,0.0
SNOTEL,PEPPER CREEK,1104:WA:SNTL,2140,False,-8,46.10242,-121.95555,2014-11-07,0,0,0.0,0.0
SNOTEL,CUMBRES TRESTLE,431:CO:SNTL,10040,False,-7,37.01878,-106.45179,2014-11-07,3,0,0.7,0.0
SNOTEL,MYRTLE CREEK,1053:ID:SNTL,3520,True,-8,48.72263,-116.46312,2014-11-07,1,0,0.2,0.0
SNOTEL,FREMONT PASS,485:CO:SNTL,11400,False,-7,39.37991,-106.19681,2014-11-07,4,-174,1.2,0.1
SNOTEL,FARNSWORTH LAKE,475:UT:SNTL,9682,False,-7,38.7725,-111.67662,2014-11-07,10,0,2.0,0.0
SNOTEL,SIERRA BLANCA,1034:NM:SNTL,10280,True,-7,33.40472,-105.78722,2014-11-07,4,0,0.3,0.0
SNOTEL,BEAVER SPRING,1143:AZ:SNTL,9200,False,-7,36.32678,-109.05711,2014-11-07,1,1,0.1,0.0
SNOTEL,MOUNTAIN MEADOWS,650:ID:SNTL,6360,False,-8,45.69694,-115.22972,2014-11-07,2,-3,1.2,-0.3
SNOTEL,COOPER LAKE,959:AK:SNTL,1200,False,-9,60.39027,-149.6936,2014-11-07,2,1,0.7,0.1
SNOTEL,CAMAS CREEK DIVIDE,382:ID:SNTL,5710,False,-7,43.26548,-115.3453,2014-11-07,0,0,0.0,0.0
SNOTEL,BUMPING RIDGE,375:WA:SNTL,4610,False,-8,46.81003,-121.33058,2014-11-07,,,0.0,0.0
SNOTEL,COLUMBINE,408:CO:SNTL,9160,False,-7,40.3948,-106.60408,2014-11-07,1,0,0.1,-0.2
SNOTEL,MCCOY PARK,1040:CO:SNTL,9480,False,-7,39.60468,-106.54128,2014-11-07,0,0,0.1,-0.2
SNOTEL,BALDY,310:AZ:SNTL,9125,False,-7,33.97883,-109.50344,2014-11-07,3,0,0.0,0.0
SNOTEL,PICKFOOT CREEK,690:MT:SNTL,6650,False,-7,46.57978,-111.26832,2014-11-07,0,-1,0.0,-0.2
SNOTEL,PETERSON MEADOWS,930:MT:SNTL,7200,False,-7,46.12588,-113.30792,2014-11-07,0,0,0.0,0.0
SNOTEL,CULEBRA #2,430:CO:SNTL,10500,False,-7,37.20945,-105.19959,2014-11-07,3,-1,0.8,0.0
SNOTEL,COUNTY LINE,422:OR:SNTL,4830,False,-8,45.19107,-118.55015,2014-11-07,0,0,0.0,0.0
SNOTEL,GEORGE CREEK,1151:UT:SNTL,9005,False,-7,41.91582,-113.41158,2014-11-07,3,-1,0.8,0.1
SNOTEL,SNOWSTORM MTN,1208:NV:SNTLT,7420,False,-8,41.3398,-116.9806,2014-11-07,6,-1,,
SNOTEL,WEMINUCHE CREEK,1160:CO:SNTL,10740,False,-7,37.51976,-107.32152,2014-11-07,5,1,1.3,0.0
SNOTEL,SANTA FE,922:NM:SNTL,11445,True,-7,35.76694,-105.78333,2014-11-07,4,-1,1.2,0.1
SNOTEL,HUCKLEBERRY CREEK,928:WA:SNTL,2250,False,-8,47.06565,-121.58778,2014-11-07,,,0.0,0.0
SNOTEL,LEAVITT LAKE,574:CA:SNTL,9617,False,-8,38.27603,-119.61182,2014-11-07,2,-2,0.4,0.1
SNOTEL,FALLEN LEAF,473:CA:SNTL,6236,False,-8,38.93405,-120.05457,2014-11-07,0,0,0.0,0.0
SNOTEL,KRAFT CREEK,562:MT:SNTL,4750,False,-7,47.42749,-113.77515,2014-11-07,0,0,0.0,0.0
SNOTEL,TENT MTN LOWER,1202:NV:SNTLT,7000,False,-8,40.9785,-115.1722,2014-11-07,0,0,,
